Team,Quarterbacks,Running Backs,Wide Receivers,Tight Ends,Kickers
,,,Tutu Atwell,,
,,,Demarcus Robinson (N),,
MIA,Tua Tagovailoa,Raheem Mostert,Tyreek Hill,Durham Smythe (N),Jason Sanders
,Mike White (N),De'Von Achane (R),Jaylen Waddle,Eric Saubert,
,Skylar Thompson,Salvon Ahmed,Cedrick Wilson,,
,,Jeff Wilson Jr. (IR),Braxton Berrios (N),,
,,,Erik Ezukanma,,
,,,River Cracraft,,
MIN,Kirk Cousins,Alexander Mattison,Justin Jefferson,T.J. Hockenson,Greg Joseph
,Nick Mullens,Ty Chandler,K.J. Osborn,Josh Oliver,
,Jaren Hall (R),Myles Gaskin (N),Jordan Addison (R),Johnny Mundt,
,,C.J. Ham,Jalen Nailor,,
,,Kene Nwangwu (IR),Brandon Powell (N),,
NE,Mac Jones,Rhamondre Stevenson,JuJu Smith-Schuster (N),Hunter Henry,Chad Ryland (R)
,,Ezekiel Elliott (N),DeVante Parker,Mike Gesicki (N),
,,,Kendrick Bourne,,
,,,Demario Douglas (R),,
,,,Kayshon Boutte (R),,
,,,Matthew Slater,,
,,,Tyquan Thornton (IR),,
NO,Derek Carr (N),Alvin Kamara (SUS),Chris Olave,Taysom Hill,Blake Grupe (N)
,Jameis Winston,Jamaal Williams (N),Michael Thomas,Juwan Johnson,
,Jake Haener (R),Kendre Miller (R),Rashid Shaheed,Jimmy Graham (N),
,,Eno Benjamin (IR),A.T. Perry (R),Foster Moreau (N),
,,,Tre'Quan Smith,,
,,,Keith Kirkwood,,
NYG,Daniel Jones,Saquon Barkley,Wan'Dale Robinson,Darren Waller (N),Graham Gano
,Tyrod Taylor,Matt Breida,Isaiah Hodgins,Daniel Bellinger,
,,Eric Gray (R),Parris Campbell (N),Tommy Sweeney (N),
,,Gary Brightwell,Darius Slayton,,
,,,Jalin Hyatt (R),,
,,,Sterling Shepard,,
,,,Bryce Ford-Wheaton (R),,
NYJ,Aaron Rodgers (N),Breece Hall,Garrett Wilson,Tyler Conklin,Greg Zuerlein
,Zach Wilson,Dalvin Cook (N),Allen Lazard (N),C.J. Uzomah,
,,Michael Carter,Randall Cobb (N),Kenny Yeboah,
,,Israel Abanikanda (R),Mecole Hardman (N),,
,,,Jason Brownlee (R),,
,,,Irvin Charles,,
PHI,Jalen Hurts,D'Andre Swift (N),A.J. Brown,Dallas Goedert,Jake Elliott
,Marcus Mariota (N),Rashaad Penny (N),DeVonta Smith,Jack Stoll,
,Tanner McKee (R),Kenneth Gainwell,Olamide Zaccheaus (N),Albert Okwuegbunam (N),
,,Boston Scott,Quez Watkins,,
PIT,Kenny Pickett,Najee Harris,George Pickens,Pat Freiermuth,Chris Boswell
,Mitchell Trubisky,Jaylen Warren,Diontae Johnson,Darnell Washington (R),
,Mason Rudolph,Anthony McFarland,Allen Robinson (N),,
,,,Calvin Austin,,
,,,Gunner Olszewski,,
,,,Miles Boykin,,
SEA,Geno Smith,Kenneth Walker III,DK Metcalf,Noah Fant,Jason Myers
,Drew Lock,Zach Charbonnet (R),Tyler Lockett,Will Dissly,
,,DeeJay Dallas,Jaxon Smith-Njigba (R),Colby Parkinson,
,,Kenny McIntosh (R),Dee Eskridge,,
,,Chris Z. Smith (R),Dareke Young,,
,,,Cody Thompson,,
,,,Jake Bobo (R),,
SF,Brock Purdy,Christian McCaffrey,Brandon Aiyuk,George Kittle,Jake Moody (R)
,Sam Darnold (N),Elijah Mitchell,Deebo Samuel,Ross Dwelley,Zane Gonzalez (N) (IR)
,Brandon Allen (N),Tyrion Davis-Price,Jauan Jennings,Brayden Willis (R),
,,Jordan Mason,Danny Gray,Cameron Latu (R) (IR),
,,Kyle Juszczyk,Ray-Ray McCloud,,
,,,Ronnie Bell (R),,
TB,Baker Mayfield (N),Rachaad White,Mike Evans,Cade Otton,Chase McLaughlin (N)
,Kyle Trask,Sean Tucker (R),Chris Godwin,Ko Kieft,
,,Chase Edmonds (N),Deven Thompkins,Payne Durham (R),
,,Ke'Shawn Vaughn,Trey Palmer (R),,
,,,Russell Gage Jr. (IR),,
TEN,Ryan Tannehill,Derrick Henry,DeAndre Hopkins (N),Chigoziem Okonkwo,Nick Folk (N)
,Will Levis (R),Tyjae Spears (R),Treylon Burks,Josh Whyle (R),
,Malik Willis,Julius Chestnut,Nick Westbrook-Ikhine,Trevon Wesco (N),
,,,Colton Dowell (R),,
,,,Chris Moore,,
,,,Kyle Philips (IR),,
WAS,Sam Howell,Brian Robinson Jr.,Terry McLaurin,Logan Thomas,Joey Slye
,Jacoby Brissett (N),Antonio Gibson,Jahan Dotson,John Bates,
,,Chris Rodriguez Jr. (R),Curtis Samuel,Kaden Smith (N),
,,,Dyami Brown,,
,,,Byron Pringle (N),,
,,,Dax Milne,,
,,,Kyric McGowan,,
